path_id,isnad_id,t0,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10
isnad_055,jb_055,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Some of our teachers,ʾAbū Ǧaʿfar ʾAḥmad b. Naṣr al-Tirmiḏī,ABU MARWAN MUHAMMAD B. UTHMAN AL-UTHMANI,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_056,jb_056,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,Muḥammad b. al-Ḥasan b. ʿAlī al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,UBAYD ALLAH B. MUHAMMAD AL-UMARI AL-QADI,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_057,jb_057,al-Dānī,ABU MUHAMMAD ABD ALLAH B. MUHAMMAD,ABU BAKR AHMAD B. ABD AL-MAJID AL-MUQRI,MUHAMMAD B. AHMAD B. AL-SALT,ABU SULAYMAN B. HARUN AL-MADANI,Qālūn ʾAbū Mūsā,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_058,jb_058,al-Dānī,ʾAbū Bakr b. Ziyād al-Naqqāš,Muḥammad b. ʿAbd Allāh b. Fulayḥ al-Madanī,AL-HUSAYN B. ABD ALLAH AL-MU3LIM,Qālūn ʾAbū Mūsā,,,,,,
isnad_059,jb_059,al-Dānī,ʾAbū Bakr b. Ziyād al-Naqqāš,Muḥammad b. ʿAbd Allāh b. Fulayḥ al-Madanī,IBRAHIM B. QALUN,Qālūn ʾAbū Mūsā,,,,,,
isnad_060,jb_060,al-Dānī,ʾAbū Bakr b. Ziyād al-Naqqāš,Muḥammad b. ʿAbd Allāh b. Fulayḥ al-Madanī,AL-MUSAB AL-ZUBAYRI,Qālūn ʾAbū Mūsā,,,,,,
isnad_061,jb_061,al-Dānī,ABU ABD ALLAH  AHMAD B. UMAR B. MAHFUZ AL-QADI,ʾAḥmad b. ʾIbrāhīm b. Ǧāmiʿ al-Sukkarī,Bakr b. Sahl al-Dimyāṭī,ʿAbd al-Ṣamad b. ʿAbd al-Raḥmān b. al-Qāsim,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_062,jb_062,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿUmar b. Muḥammad b. ʿIrāk,ʿAbd al-Maǧīd b. Miskīn,Muḥammad b. Saʿīd al-ʾAnmāṭī,ʿAbd al-Ṣamad b. ʿAbd al-Raḥmān b. al-Qāsim,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_063,jb_063,al-Dānī,ʾAbū Marwān ʿUbayd Allāh b. Salamah b. Ḥazm al-Yaḥṣubī al-ʾAndalusī,ʾAbū al-Ḥasan ʿAlī b. Muḥammad b. ʾIsmāʿīl al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ʿAbd al-Ǧabbār b. Muḥammad,ʿAbd al-Ṣamad b. ʿAbd al-Raḥmān b. al-Qāsim,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_064,jb_064,al-Dānī,ʾAbū al-Faraǧ ʿUbayd Allāh b. ʿUmar al-Maṣāḥifī,ʾAbū al-Ḥasan ʿAlī b. Muḥammad b. ʾIsmāʿīl al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ʿAbd al-Ǧabbār b. Muḥammad,ʿAbd al-Ṣamad b. ʿAbd al-Raḥmān b. al-Qāsim,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_065,jb_065,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ABD AL-AZIZ B. ALI B. MUHAMMAD B. ISHAQ B. AL-FARAJ,ABU ISHAQ IBRAHIM B. HAMDAN B. ABD AL-SAMAD,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_066,jb_066,al-Dānī,ʾAbū al-Ḥasan Ṭāhir b. ʿAbd al-Munʿim b. ʿUbayd Allāh b. Ġalbūn,ʿAtīq b. Mā Šāʾa Allāh al-Miṣrī,ʾAḥmad b. ʿAbd Allāh b. Muḥammad b. Hilāl al-ʾAzdī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_067,jb_067,al-Dānī,ʾAbū al-Ḥasan Ṭāhir b. ʿAbd al-Munʿim b. ʿUbayd Allāh b. Ġalbūn,ʾIbrāhīm b. Muḥammad b. Marwān,ʾAbū Bakr ʿAbd Allāh b. Mālik b. Sayf,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_068,jb_068,al-Dānī,ʾAbū al-Ḥasan Ṭāhir b. ʿAbd al-Munʿim b. ʿUbayd Allāh b. Ġalbūn,ʿAbd al-ʿAzīz b. ʿAlī b. al-ʾImām,ʾAbū Bakr ʿAbd Allāh b. Mālik b. Sayf,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_069,jb_069,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAḥmad b. ʾUsāmah al-Tuǧībī,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_070,jb_070,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAḥmad b. Muḥammad b. ʾAbī al-Raǧāʾ,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_071,jb_071,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAbū ʿAbd Allāh Muḥammad b. ʿAbd Allāh al-ʾAnmāṭī,ʾAbū Ǧaʿfar ʾAḥmad b. ʾIsḥāq b. ʾIbrāhīm al-Ḫayyāṭ,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_072,jb_072,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAbū Salamah al-Ḥamrāwī,ʾAbū Ǧaʿfar ʾAḥmad b. ʾIsḥāq b. ʾIbrāhīm al-Ḫayyāṭ,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_073,jb_073,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,Muḥammad b. ʿAbd Allāh al-Maʿārifī,ʾAbū Bakr Muḥammad b. Ḥamīd al-Qabbāb,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_074,jb_074,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʿAlī b. ʾAbī Raṣāṣah,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_075,jb_075,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿUmar b. Muḥammad b. ʿIrāk,Ḥamdān b. ʿAwn,ʾIsmāʿīl b. ʿAbd Allāh al-Naḥḥās al-Miṣrī,ʾAbū Yaʿqūb al-ʾAzraq,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_076,jb_076,al-Dānī,ʾAbū al-Ḥasan Ṭāhir b. ʿAbd al-Munʿim b. ʿUbayd Allāh b. Ġalbūn,ʿAbd al-ʿAzīz b. ʿAlī b. al-ʾImām,ʾAbū Bakr ʿAbd Allāh b. Mālik b. Sayf,ʾAbū Yaʿqūb al-ʾAzraq,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,,
isnad_077,jb_077,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿUmar b. Muḥammad b. ʿIrāk,ʾAḥmad b. Muḥammad b. Zakarīyāʾ al-Ṣadafī,ʿUbayd b. Muḥammad al-Bazzāz,Dāwūd b. ʾAbi Ṭaybah,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_078,jb_078,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,al-Ḥasan b. ʿAlī b. Mālik al-ʾUšnānī,ʾAḥmad b. Ṣāliḥ al-Miṣrī,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_079,jb_079,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū al-Ḥasan Muḥammad b. ʾAḥmad b. Šanabūḏ,ʾAḥmad b. Muḥammad b. Ḥaǧǧāǧ al-Rišdīn,ʾAḥmad b. Ṣāliḥ al-Miṣrī,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_080,jb_080,al-Dānī,Ḫalaf b. ʾIbrāhīm b. Ḫāqān,ʾAḥmad b. ʾUsāmah al-Tuǧībī,USAMAH AL-TUJIBI,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_081,jb_081,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Muḥammad b. Ǧarīr al-Ṭabarī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_082,jb_082,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ABU MUHAMMAD JAFAR B. AHMAD AL-BAZZAZ,Muḥammad b. al-Rabīʿ,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_083,jb_083,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. Ǧarīr al-Ṭabarī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,,
isnad_084,jb_084,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾIbrāhīm b. ʾAḥmad b. ʾIbrāhīm al-Buzūrī,ʾAḥmad b. Muḥammad al-Wāsiṭī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_085,jb_085,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,UBAYD ALLAH B. MUSLIM B. IBRAHIM,ʾAḥmad b. Muḥammad al-Wāsiṭī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_086,jb_086,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Sulaymān b. Dāwūd al-Mahrī b. ʾAḫī al-Rišdīnī,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,,
isnad_087,jb_087,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Mawwās b. Sahl al-Maʿāfirī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_088,jb_088,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Mawwās b. Sahl al-Maʿāfirī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_089,jb_089,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Mawwās b. Sahl al-Maʿāfirī,A group of students of Warš,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_090,jb_090,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʾAbū Masʿūd al-Madanī,,,,,
isnad_091,jb_091,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʿAbd al-Raḥmān b. Dāwūd b. ʾAbī Ṭaybah,Dāwūd b. ʾAbi Ṭaybah,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_092,jb_092,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʾAbū ʿAlī al-Ḥusayn b. al-Ǧunayd al-Makfūf,A group of students of Warš,ʿUṯmān b. Saʿīd Warš,,,
isnad_093,jb_093,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʿĀmir b. Saʿīd al-Ḥarašī,A group of students of Warš,,,,
isnad_094,jb_094,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʿĀmir b. Saʿīd al-Ḥarašī,ʿUṯmān b. Saʿīd Warš,,,,
isnad_095,jb_095,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,Muḥammad b. ʾAḥmad b. Muḥammad b. al-Ḥasan al-Daqqāq,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,ʾAbū Yaḥyā Muḥammad b. [ʾAbī ʿAbd al-Raḥmān/ʿAbd Allāh] b. Yazīd al-Makkī,,,,,
isnad_096,jb_096,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAbū ʿAbd Allāh ʾIbrāhīm b. ʿAbd al-ʿAzīz b. al-Ḥasan al-Fārisī,Muḥammad b. ʿAbd al-Raḥīm al-ʾIṣbahānī,Mawwās b. Sahl al-Maʿāfirī,Yūnus b. ʿAbd al-ʾAʿlā,ʿUṯmān b. Saʿīd Warš,Nāfiʿ b. ʾAbī Nuʿaym ʿAbd al-Raḥmān,,
isnad_097,jb_097,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Qunbul al-Makkī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,ʾIsmāʿīl b. ʿAbd Allāh b. Qusṭanṭīn,Šibl b. ʿAbbād,ʿAbd Allāh b. Kaṯīr,,
isnad_098,jb_097,al-Dānī,Muḥammad b. ʾAḥmad b. ʿAlī al-Kātib al-Baġdādī,ʾAbū Bakr b. Muǧāhid,Qunbul al-Makkī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,ʾIsmāʿīl b. ʿAbd Allāh b. Qusṭanṭīn,Maʿrūf b. Muškān,ʿAbd Allāh b. Kaṯīr,,
isnad_099,jb_098,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,Qunbul al-Makkī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,,,,,
isnad_100,jb_099,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,Muḥammad b. al-Ṣabbāḥ,Qunbul al-Makkī,,,,,,
isnad_101,jb_100,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAḥmad b. Muḥammad b. Hārūn b. Baqarah,Qunbul al-Makkī,,,,,,
isnad_102,jb_101,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū al-Ḥasan Muḥammad b. ʾAḥmad b. Šanabūḏ,Qunbul al-Makkī,,,,,,
isnad_103,jb_102,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,Muḥammad b. al-Ḥasan b. ʿAlī al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,Qunbul al-Makkī,,,,,,
isnad_104,jb_103,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,Muḥammad b. al-Ḥasan b. ʿAlī al-ʾAnṭākī,ʾIbrāhīm b. ʿAbd al-Razzāq b. al-Ḥasan al-ʾAnṭākī,ʾAbū Rabīʿah Muḥammad b. ʾIsḥāq b. ʾAʿyān al-Rabaʿī,Qunbul al-Makkī,,,,,
isnad_105,jb_104,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʿAbd al-Bāqī b. al-Ḥasan b. al-Saqqāʾ,ʾAḥmad b. Muḥammad b. Bišr al-Marwarrūḏī,ʾAbū Bakr Muḥammad b. Mūsā b. Sulaymān al-Zaynabī,Qunbul al-Makkī,,,,,
isnad_106,jb_105,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾAḥmad b. ʿUbayd Allāh al-Maḫzūmī,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Yazīd al-Ḥulwānī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,Šibl b. ʿAbbād,ʿAbd Allāh b. Kaṯīr,
isnad_107,jb_105,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾAḥmad b. ʿUbayd Allāh al-Maḫzūmī,al-Ḥasan b. al-ʿAbbās b. ʾAbī Mihrān al-Ǧammāl al-Rāzī,ʾAḥmad b. Yazīd al-Ḥulwānī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,Maʿrūf b. Muškān,ʿAbd Allāh b. Kaṯīr,
isnad_108,jb_106,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAbū Bakr b. Muǧāhid,Al-ʿAbbās b. al-Faḍl b. Šāḏān,ʾAḥmad b. Yazīd al-Ḥulwānī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,,,,
isnad_109,jb_107,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,nan,ʾIsḥāq b. ʾAḥmad al-Ḫuzāʿī,ABD ALLAH B. JUBAYR AL-HASHIMI,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,ʾIsmāʿīl b. ʿAbd Allāh b. Qusṭanṭīn,Šibl b. ʿAbbād,ʿAbd Allāh b. Kaṯīr,
isnad_110,jb_108,al-Dānī,nan,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,ʾIsḥāq b. ʾAḥmad al-Ḫuzāʿī,ABD ALLAH B. JUBAYR AL-HASHIMI,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAlqamah al-Qawwās al-Nabbāl,ʾAbū al-ʾIḫrīṭ Wahb b. Wāḍiḥ,ʾIsmāʿīl b. ʿAbd Allāh b. Qusṭanṭīn,Šibl b. ʿAbbād,ʿAbd Allāh b. Kaṯīr,
isnad_111,jb_109,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,MUHAMMAD B. MUSA AL-ABBAS,ʾAbū Rabīʿah Muḥammad b. ʾIsḥāq b. ʾAʿyān al-Rabaʿī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAbd Allāh al-Bazzī,ʿIkrimah b. Sulaymān,Šibl b. ʿAbbād,ʿAbd Allāh b. Kaṯīr,,
isnad_112,jb_109,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Ṭāhir ʿAbd al-Wāḥid b. ʾAbī Hāšim,MUHAMMAD B. MUSA AL-ABBAS,ʾAbū Rabīʿah Muḥammad b. ʾIsḥāq b. ʾAʿyān al-Rabaʿī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAbd Allāh al-Bazzī,ʿIkrimah b. Sulaymān,ʾIsmāʿīl b. ʿAbd Allāh b. Qusṭanṭīn,ʿAbd Allāh b. Kaṯīr,,
isnad_113,jb_110,al-Dānī,ʿAbd al-ʿAzīz b. Ḫwāstī al-Fārisī,ʾAbū Bakr b. Ziyād al-Naqqāš,ʾAbū Rabīʿah Muḥammad b. ʾIsḥāq b. ʾAʿyān al-Rabaʿī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAbd Allāh al-Bazzī,,,,,,
isnad_114,jb_111,al-Dānī,ʾAbū al-Fatḥ Fāris b. ʾAḥmad b. Ḍarīr,ʾAbū ʾAḥmad ʿAbd Allāh b. al-Ḥusayn b. Ḥasnūn al-Sāmarrī,ʾAḥmad b. Muḥammad b. Hārūn b. Baqarah,ʾAbū Rabīʿah Muḥammad b. ʾIsḥāq b. ʾAʿyān al-Rabaʿī,ʾAbū al-Ḥasan ʾAḥmad b. Muḥammad b. ʿAbd Allāh al-Bazzī,,,,,
